customer_id,cus_name,phone_no,emel,membership,customer_rating,customer_review,rep_guest,prev_cancel
CUS-047,Ann Sullivan,947-577-3720,AnnSullivan@att.com,Platinum,3,Good,0,0
CUS-048,Rachel Wallace,870-988-2775,Rachel_W79@xfinity.com,Gold,3,Good,0,0
CUS-049,Carla Ferguson,724-910-8709,Carla_Ferguson@att.com,Gold,3,Good,0,0
CUS-050,Greg Hardin,488-646-3204,Hardin_Greg@gmail.com,Gold,5,Excellent,0,0
CUS-051,Rachel Ho,338-173-6502,Ho_Rachel74@aol.com,Standard,5,Excellent,0,0
CUS-052,Elizabeth Joseph,625-613-9890,Joseph_Elizabeth@yandex.com,Gold,5,Excellent,0,0
CUS-053,Stephen Brown,154-115-9953,Stephen.Brown@att.com,Platinum,4,Very Good,0,0
CUS-054,Scott Ward,463-281-5751,Scott_Ward11@hotmail.com,Platinum,5,Excellent,0,0
CUS-055,Derrick Bailey,709-066-0652,Derrick_Bailey@protonmail.com,Platinum,4,Very Good,0,0
CUS-056,Jessica Cole,179-191-0924,Jessica_Cole@yahoo.com,Gold,5,Excellent,0,0
CUS-057,Reginald Russo,765-624-6051,Russo.Reginald65@comcast.net,Platinum,5,Excellent,0,0
CUS-058,William Sanchez,120-215-7905,William.Sanchez@mail.com,Standard,3,Good,0,0
CUS-059,Diane Rose,362-196-5800,Diane.Rose@protonmail.com,Standard,5,Excellent,0,0
CUS-060,Nathan Smith,689-649-9029,Nathan_Smith@comcast.net,Platinum,3,Good,0,0
CUS-061,Andrew Bullock,674-443-2397,AndrewBullock17@hotmail.com,Platinum,5,Excellent,0,0
CUS-062,Nancy Mccormick,199-421-8585,Nancy.M@protonmail.com,Standard,5,Excellent,0,0
CUS-063,Barbara Cole,152-786-1085,Barbara.Cole@hotmail.com,Gold,4,Very Good,0,0
CUS-064,Sheri Aguilar,333-467-7388,Aguilar.Sheri22@att.com,Platinum,5,Excellent,0,0
CUS-065,Sandra Graham,141-723-4259,Sandra_Graham@xfinity.com,Standard,5,Excellent,0,0
CUS-066,Christopher Cabrera,852-612-3076,Cabrera.Christopher@yahoo.com,Platinum,4,Very Good,0,0
CUS-067,Melinda Flores,419-443-6780,Flores_Melinda@yahoo.com,Platinum,5,Excellent,0,0
CUS-068,Michael Whitehead,738-618-2202,Michael.W@mail.com,Platinum,5,Excellent,0,0
CUS-069,Brent Hamilton,304-692-3370,Brent.Hamilton15@gmail.com,Platinum,4,Very Good,0,0
CUS-070,Jessica Bradford,207-319-4187,JBradford@outlook.com,Platinum,5,Excellent,0,0
CUS-071,Marissa Robinson,770-855-7071,MarissaRobinson@mail.com,Platinum,4,Very Good,0,0
CUS-072,Jennifer Curry,964-722-0569,Jennifer_Curry@hotmail.com,Gold,5,Excellent,0,0
CUS-073,Teresa Maldonado,623-086-5362,Maldonado_Teresa95@protonmail.com,Gold,5,Excellent,0,0
CUS-074,Bryan Perez,125-111-5926,BryanPerez@gmail.com,Platinum,5,Excellent,0,0
CUS-075,Timothy Horn,308-321-9169,Timothy.H@yandex.com,Platinum,4,Very Good,0,0
CUS-076,Angela Williams,580-737-9824,Angela.Williams@xfinity.com,Gold,4,Very Good,0,0
CUS-077,Lee Ramirez MD,764-987-4238,LMD@yahoo.com,Gold,3,Good,0,0
CUS-078,Allen Hoffman,387-020-2239,AHoffman@protonmail.com,Platinum,5,Excellent,0,0
CUS-079,Michael Yu,648-953-8540,Michael_Yu59@comcast.net,Platinum,5,Excellent,0,0
CUS-080,Anthony Moss,963-680-1077,Anthony_Moss18@yandex.com,Platinum,4,Very Good,0,0
CUS-081,Tony Olson,177-359-1844,Tony_O@outlook.com,Gold,5,Excellent,0,0
CUS-082,Clayton Cowan,504-743-2620,Clayton.Cowan31@protonmail.com,Platinum,5,Excellent,0,0
CUS-083,Mrs. Debra Jackson DDS,307-631-6954,DDS_Mrs.@att.com,Gold,4,Very Good,0,0
CUS-084,Raymond Young,699-642-7831,Young.Raymond92@verizon.com,Platinum,4,Very Good,0,0
CUS-085,Lisa Schroeder,530-765-2207,Schroeder.Lisa@comcast.net,Gold,5,Excellent,0,0
CUS-086,Kristin Roberts,697-234-2961,Kristin_Roberts56@protonmail.com,Gold,4,Very Good,0,0
CUS-087,Howard Williams,725-661-7321,Howard_W@outlook.com,Platinum,5,Excellent,0,0
CUS-088,Jennifer Murphy,704-540-0581,Murphy.Jennifer59@yandex.com,Gold,5,Excellent,0,0
CUS-089,Joshua Delacruz,865-382-8535,JoshuaDelacruz@outlook.com,Platinum,4,Very Good,0,0
CUS-090,Colleen Murphy,338-111-1480,Colleen.Murphy@mail.com,Platinum,4,Very Good,0,0
CUS-091,Rebecca Hebert,949-133-1514,RHebert34@zoho.com,Gold,5,Excellent,0,0
CUS-092,Robert Campbell,889-737-3353,RCampbell@verizon.com,Standard,5,Excellent,0,0
CUS-093,Matthew Lang,717-746-5383,Lang_Matthew34@hotmail.com,Gold,5,Excellent,0,0
CUS-094,David Mcgee,476-034-9610,David_M@aol.com,Platinum,5,Excellent,0,0
CUS-095,Jill Key,660-175-9098,JillKey89@att.com,Gold,5,Excellent,0,0
CUS-096,Nicole Campbell,438-796-8267,NicoleCampbell26@zoho.com,Gold,5,Excellent,0,0
CUS-097,James Hill,448-162-3076,Hill.James@mail.com,Platinum,5,Excellent,0,0
CUS-098,Daniel Richard,540-499-1735,Daniel_R@xfinity.com,Gold,4,Very Good,0,0
CUS-099,Jacob Porter,432-456-4500,Porter_Jacob@verizon.com,Gold,2,Poor,0,0
CUS-100,Susan Wilson,253-535-6431,Wilson_Susan@comcast.net,Gold,4,Very Good,0,0
CUS-101,Barbara Alvarez,358-294-6282,Barbara.A87@outlook.com,Platinum,5,Excellent,0,0
CUS-102,Noah Bowers,773-380-8502,NoahBowers@protonmail.com,Platinum,4,Very Good,0,0
CUS-103,Thomas Morales,952-506-4281,Morales.Thomas@att.com,Platinum,4,Very Good,0,0
CUS-104,Christopher Wilson,189-137-7120,Christopher.Wilson@mail.com,Platinum,5,Excellent,0,0
CUS-105,Marcus Mitchell,496-320-0970,Marcus.Mitchell40@hotmail.com,Platinum,3,Good,0,0
CUS-106,Joshua Bailey,995-641-6241,JBailey29@aol.com,Gold,4,Very Good,0,0
CUS-107,Dennis Weaver,247-140-1235,DWeaver@yandex.com,Platinum,4,Very Good,0,0
CUS-108,William Gordon,244-158-4067,WilliamGordon@xfinity.com,Gold,4,Very Good,0,0
CUS-109,Nicholas Acosta,879-786-1294,NAcosta52@gmail.com,Gold,5,Excellent,0,0
CUS-110,Angel Smith,777-065-6700,Angel_S@zoho.com,Platinum,4,Very Good,0,0
CUS-111,Rebecca Brooks,851-509-5189,Rebecca.Brooks84@yahoo.com,Platinum,4,Very Good,0,0
CUS-112,John Rojas,817-841-9453,John_R@gmail.com,Platinum,4,Very Good,0,0
CUS-113,Julie Rivera,375-746-1425,JulieRivera@verizon.com,Gold,3,Good,0,0
CUS-114,Roberto Watson,219-113-9337,Watson.Roberto@xfinity.com,Platinum,3,Good,0,0
CUS-115,Joseph Yu,169-899-0305,Joseph_Yu48@aol.com,Platinum,5,Excellent,0,0
CUS-116,George Campbell,341-285-3564,Campbell_George@zoho.com,Gold,4,Very Good,0,0
CUS-117,Edwin Norton,203-192-1183,Edwin_Norton@aol.com,Gold,4,Very Good,0,0
CUS-118,Leslie Lewis,579-451-3893,LeslieLewis@xfinity.com,Gold,5,Excellent,0,0
CUS-119,Wendy Adkins,855-406-2365,Adkins_Wendy86@gmail.com,Platinum,4,Very Good,0,0
CUS-120,Brenda Rodgers,947-400-1398,Brenda.Rodgers@xfinity.com,Platinum,5,Excellent,0,0
CUS-121,Michael Griffin MD,321-266-0289,MMD@hotmail.com,Gold,4,Very Good,0,0
CUS-122,Todd Cox,980-217-8754,Todd.Cox97@verizon.com,Platinum,5,Excellent,0,0
CUS-123,Linda Anderson,161-412-7478,LindaAnderson@att.com,Platinum,5,Excellent,0,0
CUS-124,Sharon Nelson,862-437-9998,Nelson_Sharon70@xfinity.com,Gold,5,Excellent,0,0
CUS-125,Mario Bennett,584-994-9131,Mario_Bennett@hotmail.com,Gold,5,Excellent,0,0
CUS-126,Kristin Campos,574-702-2890,Kristin.Campos48@att.com,Gold,5,Excellent,0,0
CUS-127,Tamara Kennedy,770-218-7968,Kennedy.Tamara@comcast.net,Standard,5,Excellent,0,0
CUS-128,Tiffany Phillips,780-067-0965,Tiffany.Phillips@outlook.com,Platinum,5,Excellent,0,0
CUS-129,Larry Velasquez,939-592-8567,LarryVelasquez83@yahoo.com,Platinum,5,Excellent,0,0
CUS-130,Troy Wolf,951-206-5844,Wolf.Troy22@gmail.com,Standard,4,Very Good,0,0
CUS-131,Richard Jones,998-911-5071,Richard.J@att.com,Gold,5,Excellent,0,0
CUS-132,Samantha Porter,355-960-5246,Porter.Samantha@protonmail.com,Platinum,5,Excellent,0,0
CUS-133,Michael Bass,994-189-2675,Bass_Michael@att.com,Gold,5,Excellent,0,0
CUS-134,Glen Chavez,702-737-4764,Chavez_Glen@xfinity.com,Platinum,4,Very Good,0,0
CUS-135,Rebecca Jones,140-142-8767,Jones_Rebecca@comcast.net,Platinum,5,Excellent,0,0
CUS-136,Dr. Michael Gallegos,864-609-4982,Gallegos_Dr.61@xfinity.com,Platinum,5,Excellent,0,0
CUS-137,Veronica Allen,171-794-8523,Veronica.A@comcast.net,Standard,4,Very Good,0,0
CUS-138,Mike Anderson,582-743-3948,Anderson_Mike50@mail.com,Platinum,4,Very Good,0,0
CUS-139,James Foster,941-412-0617,Foster.James@att.com,Gold,5,Excellent,0,0
CUS-140,Brian Fisher,460-149-7682,Brian_Fisher86@comcast.net,Platinum,2,Poor,0,0
CUS-141,Elizabeth Wilson,957-432-0410,Elizabeth.W17@zoho.com,Platinum,5,Excellent,0,0
CUS-142,Joshua Graham,836-923-6657,Joshua.G42@gmail.com,Platinum,5,Excellent,0,0
CUS-143,Kevin Lee,606-443-7740,Kevin.Lee17@verizon.com,Gold,5,Excellent,0,0
CUS-144,Eric Pugh,908-309-5196,EricPugh@mail.com,Platinum,5,Excellent,0,0
CUS-145,Kendra Kent,772-663-8044,KKent@comcast.net,Platinum,4,Very Good,0,0
CUS-146,Ashley Hall,544-294-5585,Hall_Ashley@zoho.com,Gold,4,Very Good,0,0
CUS-147,Rodney Bailey,166-043-5989,RBailey@comcast.net,Gold,5,Excellent,0,0
CUS-148,Pamela West,253-544-6073,West_Pamela@zoho.com,Gold,5,Excellent,0,0
CUS-149,Patrick Curry,902-943-2896,PatrickCurry89@att.com,Platinum,4,Very Good,0,0
CUS-150,Stacey Chan,740-725-8190,Stacey.C@yandex.com,Standard,5,Excellent,0,0
CUS-151,Patricia Serrano,137-762-7073,Patricia_S@xfinity.com,Platinum,5,Excellent,0,0
CUS-152,John Anderson,543-200-9275,Anderson_John67@yandex.com,Platinum,5,Excellent,0,0
CUS-153,Dawn Adams,996-913-7836,Dawn.A68@protonmail.com,Gold,5,Excellent,0,0
CUS-154,Molly Mclaughlin,884-859-4497,Molly.Mclaughlin23@xfinity.com,Platinum,5,Excellent,0,0
CUS-155,Amanda Fox,905-024-0862,Amanda_Fox@verizon.com,Platinum,5,Excellent,0,0
CUS-156,Rose Gutierrez,549-437-1292,Rose_G65@outlook.com,Gold,5,Excellent,0,0
CUS-157,Alexander Bass,378-238-0167,Bass_Alexander65@zoho.com,Platinum,5,Excellent,0,0
CUS-158,Leslie Wilson,954-271-5882,LeslieWilson@comcast.net,Platinum,5,Excellent,0,0
CUS-159,Emily Pennington,468-989-6508,EPennington@protonmail.com,Standard,5,Excellent,0,0
CUS-160,Mary Mendez,939-016-1514,MaryMendez@protonmail.com,Gold,5,Excellent,0,0
CUS-161,Rebecca Price,805-825-8710,Rebecca.Price@zoho.com,Platinum,5,Excellent,0,0
CUS-162,Diana Mcdowell DDS,552-624-5025,DDDS@comcast.net,Platinum,5,Excellent,0,0
CUS-163,Jennifer Terry,831-324-4638,Jennifer_Terry58@outlook.com,Platinum,5,Excellent,0,0
CUS-164,Andrew Barnett,387-017-4651,Andrew.B@yahoo.com,Platinum,5,Excellent,0,0
CUS-165,Evelyn Day,909-666-8383,Day.Evelyn@outlook.com,Platinum,4,Very Good,0,0
CUS-166,Natalie Anderson,109-008-2223,Anderson_Natalie@gmail.com,Platinum,5,Excellent,0,0
CUS-167,Kathryn Morgan,257-130-2832,Morgan_Kathryn@mail.com,Platinum,5,Excellent,0,0
CUS-168,Stacy Simmons,221-859-1786,Stacy.Simmons@comcast.net,Platinum,5,Excellent,0,0
CUS-169,Rebecca Reyes,864-063-3615,Reyes.Rebecca@xfinity.com,Gold,5,Excellent,0,0
CUS-170,Tracey Hebert,111-308-0722,Tracey.Hebert39@xfinity.com,Platinum,5,Excellent,0,0
CUS-171,Jessica Cunningham,151-653-3240,Jessica_C20@aol.com,Gold,5,Excellent,0,0
CUS-172,Stephanie Rodriguez,492-513-1267,Stephanie.R@mail.com,Platinum,4,Very Good,0,0
CUS-173,Richard Arias,121-706-9987,Richard.Arias28@att.com,Platinum,5,Excellent,0,0
CUS-174,Courtney Barr,565-728-6878,Barr.Courtney@mail.com,Platinum,5,Excellent,0,0
CUS-175,Justin Webb,438-241-1182,Justin.W@protonmail.com,Platinum,5,Excellent,0,0
CUS-176,Audrey Garcia,417-006-5431,Audrey.Garcia66@verizon.com,Standard,5,Excellent,0,0
CUS-177,George Mcgee,593-095-2633,GeorgeMcgee@comcast.net,Platinum,4,Very Good,0,0
CUS-178,Michelle Perez,250-829-1432,Michelle.P@xfinity.com,Platinum,5,Excellent,0,0
CUS-179,Kelly Rogers,115-960-2405,Rogers.Kelly@gmail.com,Gold,5,Excellent,0,0
CUS-180,Kelly Daniels,411-117-7672,Kelly_D@aol.com,Gold,4,Very Good,0,0
CUS-181,Chelsea Wilson,668-922-1704,CWilson@yandex.com,Gold,4,Very Good,0,0
CUS-182,Nicolas Adams,782-435-5260,Nicolas_A@outlook.com,Platinum,5,Excellent,0,0
CUS-183,Jane Mckinney,456-520-4308,Mckinney.Jane@comcast.net,Gold,5,Excellent,0,0
CUS-184,Derrick Washington,847-382-3634,Derrick_W94@outlook.com,Gold,4,Very Good,0,0
CUS-185,Molly Schultz,974-292-3185,MSchultz71@hotmail.com,Gold,5,Excellent,0,0
CUS-186,Jesse Wright,508-856-4146,Jesse.Wright@comcast.net,Platinum,5,Excellent,0,0
CUS-187,Paula Howard,695-262-6342,Paula_Howard@xfinity.com,Platinum,4,Very Good,0,0
CUS-188,Norman Clark,440-687-4171,Norman.C23@hotmail.com,Gold,5,Excellent,0,0
CUS-189,Sarah Carter,804-211-4572,Sarah.C@comcast.net,Gold,3,Good,0,0
CUS-190,Mary Robinson,888-249-8421,Robinson_Mary34@att.com,Gold,5,Excellent,0,0
CUS-191,Sarah Wong,326-587-4615,Sarah.W@protonmail.com,Gold,4,Very Good,0,0
CUS-192,Jonathan Torres,855-384-8008,Jonathan.T@comcast.net,Platinum,5,Excellent,0,0
CUS-193,Tammy Delgado,706-745-8515,TammyDelgado@comcast.net,Gold,4,Very Good,0,0
CUS-194,Kimberly Frazier,344-108-6833,Frazier.Kimberly@yandex.com,Platinum,4,Very Good,0,0
CUS-195,Victoria Herman,636-521-2700,VictoriaHerman@zoho.com,Platinum,5,Excellent,0,0
CUS-196,Abigail Bowers,424-006-6247,Abigail_Bowers@yahoo.com,Platinum,4,Very Good,0,0
CUS-197,Veronica Howard,111-927-4772,VHoward23@gmail.com,Gold,4,Very Good,0,0
CUS-198,Jenna Harrington,867-881-8792,Jenna_Harrington@protonmail.com,Platinum,5,Excellent,0,0
CUS-199,Elizabeth Hendrix,400-915-3410,EHendrix@yandex.com,Platinum,5,Excellent,0,0
CUS-200,Shannon Tate,631-059-6418,Tate.Shannon54@yahoo.com,Gold,4,Very Good,0,0
CUS-201,Christopher Briggs Jr.,964-874-5359,Christopher_J25@gmail.com,Platinum,4,Very Good,0,0
CUS-202,Virginia Jones,554-132-9279,Jones.Virginia@zoho.com,Gold,5,Excellent,0,0
CUS-203,Casey Cobb,271-313-2202,Casey.Cobb89@outlook.com,Gold,5,Excellent,0,0
CUS-204,Timothy Kim,202-231-2444,Timothy.K@xfinity.com,Platinum,5,Excellent,0,0
CUS-205,Daniel Gilbert,745-933-4870,DGilbert@xfinity.com,Platinum,5,Excellent,0,0
CUS-206,Cheryl Adams,191-005-2632,CAdams@outlook.com,Platinum,5,Excellent,0,0
CUS-207,Luis Grant,678-415-9913,Luis_Grant@aol.com,Platinum,5,Excellent,0,0
CUS-208,Kevin Blankenship,615-321-3635,Kevin.B@gmail.com,Platinum,4,Very Good,0,0
CUS-209,Roberto Wolfe,257-539-3194,RWolfe@yahoo.com,Gold,5,Excellent,0,0
CUS-210,Lance Lopez,966-516-2035,LLopez@verizon.com,Gold,4,Very Good,0,0
CUS-211,Robert Baker,304-566-1032,RBaker@zoho.com,Platinum,5,Excellent,0,0
CUS-212,Brianna Malone,586-419-6920,Malone.Brianna70@comcast.net,Platinum,5,Excellent,0,0
CUS-213,Paul Wilson,513-917-6799,Paul_Wilson@gmail.com,Gold,5,Excellent,0,0
CUS-214,Derek Peterson,231-825-5365,DPeterson@xfinity.com,Gold,4,Very Good,0,0
CUS-215,Brian Greene,185-289-7027,Greene_Brian@comcast.net,Platinum,5,Excellent,0,0
CUS-216,Seth Marshall,864-764-3237,Seth_M@att.com,Gold,5,Excellent,0,0
CUS-217,Sarah Wagner,255-727-3402,Wagner.Sarah@yandex.com,Platinum,4,Very Good,0,0
CUS-218,Michael Rivas,731-847-6372,Rivas_Michael63@xfinity.com,Gold,4,Very Good,0,0
CUS-219,Amanda Myers,692-752-0185,AmandaMyers@att.com,Gold,5,Excellent,0,0
CUS-220,Joshua Patrick,868-836-9111,JoshuaPatrick@xfinity.com,Gold,4,Very Good,0,0
CUS-221,Martin Mcknight,880-037-2943,Mcknight.Martin17@comcast.net,Gold,5,Excellent,0,0
CUS-222,Robert Wagner,214-203-7077,Robert_Wagner78@att.com,Platinum,4,Very Good,0,0
CUS-223,Leah Payne,547-173-4121,Leah_Payne26@yahoo.com,Platinum,4,Very Good,0,0
CUS-224,Victoria Stewart,286-727-0925,VictoriaStewart31@yahoo.com,Gold,4,Very Good,0,0
CUS-225,Mr. Ryan Wright,322-031-8553,MWright51@aol.com,Standard,5,Excellent,0,0
CUS-226,William Duncan,258-818-1494,William.Duncan26@hotmail.com,Gold,4,Very Good,0,0
CUS-227,Jonathan Kelly,818-429-6070,Kelly_Jonathan@zoho.com,Gold,4,Very Good,0,0
CUS-228,Erik Young,861-177-8420,EYoung@gmail.com,Platinum,5,Excellent,0,0
CUS-229,Brittany Smith,808-777-1340,BSmith32@yandex.com,Platinum,4,Very Good,0,0
CUS-230,Jennifer Oliver,400-377-8953,Jennifer.Oliver@outlook.com,Gold,5,Excellent,0,0
CUS-231,Jennifer Cunningham,410-916-8076,Jennifer.Cunningham@comcast.net,Platinum,5,Excellent,0,0
CUS-232,Judy Lucero,810-207-7781,Judy.Lucero94@protonmail.com,Gold,5,Excellent,0,0
CUS-233,Stephanie Mccoy,856-389-4559,Mccoy_Stephanie@zoho.com,Platinum,5,Excellent,0,0
CUS-234,Amy Lee,487-969-0276,AmyLee70@att.com,Gold,5,Excellent,0,0
CUS-235,Phyllis Dunn,323-363-3142,PDunn@aol.com,Platinum,5,Excellent,0,0
CUS-236,Joseph Nichols,356-443-7988,Joseph.N@yahoo.com,Gold,5,Excellent,0,0
CUS-237,Robert Gonzalez,313-497-8939,RobertGonzalez@hotmail.com,Platinum,5,Excellent,0,0
CUS-238,Jenna Castillo,928-974-9546,Castillo.Jenna@yahoo.com,Platinum,4,Very Good,0,0
CUS-239,Karen Harris,792-593-6138,Karen_H@protonmail.com,Gold,5,Excellent,0,0
CUS-240,Kristen Williams,421-586-4415,Kristen.Williams@protonmail.com,Gold,4,Very Good,0,0
CUS-241,Bradley Dickson,189-235-1026,Dickson_Bradley@yahoo.com,Gold,5,Excellent,0,0
CUS-242,Rodney Ford,217-265-5429,RodneyFord39@mail.com,Platinum,5,Excellent,0,0
CUS-243,Christopher Giles,384-250-2031,CGiles29@comcast.net,Platinum,5,Excellent,0,0
CUS-244,Tracy Escobar,633-436-5830,Tracy.Escobar85@gmail.com,Gold,5,Excellent,0,0
CUS-245,Tracy Johnson,544-165-5069,TJohnson85@hotmail.com,Platinum,5,Excellent,0,0
CUS-246,Mark Cox MD,515-974-2223,MarkMD62@mail.com,Platinum,4,Very Good,0,0
CUS-247,Brooke Martin,188-464-0257,BMartin@aol.com,Platinum,5,Excellent,0,0
CUS-248,Victoria Vargas,157-480-0120,Vargas.Victoria86@mail.com,Platinum,5,Excellent,0,0
CUS-249,Amanda Johnson,660-317-3148,Amanda_Johnson30@att.com,Platinum,5,Excellent,0,0
CUS-250,Kevin Wu,841-768-8185,Kevin.Wu@xfinity.com,Platinum,4,Very Good,0,0
CUS-251,Thomas Johnson,366-028-0992,TJohnson28@mail.com,Platinum,5,Excellent,0,0
CUS-252,Jamie Smith,657-992-2925,JSmith@gmail.com,Gold,5,Excellent,0,0
CUS-253,Brianna Montgomery,720-949-2293,Montgomery.Brianna@xfinity.com,Platinum,5,Excellent,0,0
CUS-254,Marie Sullivan,514-614-7652,MarieSullivan@yahoo.com,Platinum,5,Excellent,0,0
CUS-255,Aaron Miller,172-367-8367,Aaron_Miller@hotmail.com,Gold,5,Excellent,0,0
CUS-256,Roy Murphy,231-300-5662,RMurphy52@yahoo.com,Platinum,5,Excellent,0,0
CUS-257,Catherine Chan DDS,289-972-2718,Catherine_DDS@comcast.net,Platinum,4,Very Good,0,0
CUS-258,Amy Khan,525-397-8737,Amy.Khan@zoho.com,Standard,5,Excellent,0,0
CUS-259,Joshua Sullivan,151-760-5294,Joshua_Sullivan@comcast.net,Standard,5,Excellent,0,0
CUS-260,Brooke Mccarty,679-028-8706,Brooke.Mccarty@protonmail.com,Platinum,5,Excellent,0,0
CUS-261,Kelsey Herman,975-614-7112,Herman.Kelsey34@mail.com,Platinum,5,Excellent,0,0
CUS-262,Dakota Ponce,909-908-7981,DakotaPonce45@yandex.com,Platinum,5,Excellent,0,0
CUS-263,Dawn Frost,335-002-8727,Frost.Dawn@verizon.com,Gold,5,Excellent,0,0
CUS-264,Cynthia Meadows,479-770-5950,CMeadows@hotmail.com,Gold,5,Excellent,0,0
CUS-265,Patrick Wood,595-110-6891,Patrick.W@mail.com,Gold,5,Excellent,0,0
CUS-266,Patricia Green,554-568-3298,Green.Patricia@aol.com,Platinum,4,Very Good,0,0
CUS-267,Diane Brown,775-172-3008,Diane_B@xfinity.com,Gold,5,Excellent,0,0
CUS-268,Michael Gibson,251-345-2664,MGibson36@hotmail.com,Gold,5,Excellent,0,0
CUS-269,Christopher Daniel,489-846-4333,Christopher_D99@yahoo.com,Gold,4,Very Good,0,0
CUS-270,Brandon Beck,342-274-5500,Brandon_B51@xfinity.com,Platinum,5,Excellent,0,0
